Brand,Series,,,Wattages,Tier,Year,,Size,ATX Ver.,Input Range,Modularity,Efficiency,Topology,,,ODM,Platform Code,Notes
,,,,,,,,,,,,,Prim.,Sec.,,,,
,,,,,,,,,,,,,Conv.,Rect.,Reg.,,,
1st Player,ACK,,Bronze,650/750W,C-,2025,,ATX,ATX 3.x,230V,No,B,DF,SR,DC-DC,Helly,Unknown,"5 year warranty, OCP is set way higher than necessary on the minor rails."
,,,Gold,750/850W,B*,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GB upd. to ATX 3.1?,
,,,Silver,750/850W,C-,2025,,ATX,ATX 3.x,230V,No,S,DF,SR,DC-DC,Helly,Unknown,"Insane 7 year warranty given the component quality, OCP is set way higher than necessary on the minor rails, very poor 200% excursion response."
,,,Standard,550/650/750W,E,2025,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Helly,Unknown,"OCP is not claimed on any rail (although it most likely exists for the minor rails only), very low +12V line output relative to total capacity."
,Armour (AR Gold),,,550-750W,B,2021,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,
,Black Sir,,,500-600W,E,2016,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Helly,ATX-0200,
,DK Premium,,,500-600W,C-,2016,,ATX,ATX 2.x,Full,No,B,DF,SR,DMA,Helly,ATX-0600,
,,,,700-800W,C-,2016,,ATX,ATX 2.x,Full,No,B,DF,SR,DMA,Helly,ATX-0600,
,FK,,,400W,F,2015,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Helly,ATX-0200,PPFC - no 80 Plus or Cybenetics rating
,,,,500-750W,E,2015,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Helly,ATX-0200,APFC - no 80 Plus or Cybenetics rating
,NGDP,,Gold,750/850/1000W,A-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0800GB,
,,,Platinum ATX 3.0,1000W/1300W,A-,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Helly,EPS-0100,Fan is of questionable quality. Yate Loon DBB. Loose 12V transient response.
,,,Platinum ATX 3.1,1000W/1300W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Helly,EPS-0100,FDB fan; Hong Hua
,PRO,,,500-700W,E,2016,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Helly,,
,SFX,,Gold,650W,B,2022,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,SFX-0200,
,,,,850W,E,2022,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,SFX-0200,"Shares the same layout as the Lian Li SP850, which, due to its capacity and layout, had a potential fire risk under 100VAC input."
,,,Platinum,750W,B,2022,,SFX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Helly,SFX-0200,
,Steampunk,,Gold,650/750W,B,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0100GB,
,,,,850W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GB,
,,,Silver,650/750W,C*,2023,,ATX,ATX 2.x,Full,Full,S,LLC,SR,DC-DC,Helly,ATX-0500GQ costdown?,"No internal shots exist, not recommended for purchase until further notice. OCP isn't claimed, but almost certainly exists. LED fan, 3 year warranty."
,,,,,,,,,,,,,,,,,,
"Abko
(Abkoncore)",CR Platinum,,,1200W,B,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,R8,
,Coremax Bronze,,,500/600/700W,C,2024,,ATX,ATX 2.x,230V,No,B,DF,PR,DC-DC,PREE,,OEM is Guangzhou PREE Electronic Technology Co. Ltd.
